time;nof_ue;dl_brate;ul_brate;proc_rmem;proc_rmem_kB;proc_vmem_kB;sys_mem;system_load;thread_count;cpu_0;cpu_1;cpu_2;cpu_3
0;0;0.0;0.0;9.3;743568;1797260;84;9.4;18;50;44;56;53
1;0;0.0;0.0;9.3;750352;1797260;84;17;19;100;100;100;100
2;0;0.0;0.0;9.3;750352;1797260;84;21;19;100;100;100;100
3;0;0.0;0.0;9.3;750352;1797260;85;21;19;100;100;100;100
4;0;0.0;0.0;9.3;750352;1797260;85;23;19;100;100;99;100
5;0;0.0;0.0;9.3;750352;1797260;85;22;19;100;100;100;100
6;0;0.0;0.0;9.3;750352;1797260;89;23;19;100;100;100;100
7;0;0.0;0.0;9.3;750352;1797260;91;22;19;100;100;100;100
8;0;0.0;0.0;9.3;750352;1797260;91;22;19;99;100;100;100
9;0;0.0;0.0;9.3;750352;1797260;92;22;19;100;100;99;100
10;0;0.0;0.0;9.3;750352;1797260;93;21;19;99;100;100;99
11;0;0.0;0.0;9.8;788960;1797260;92;22;19;98;100;100;100
12;0;0.0;0.0;13;1064288;2059404;93;31;19;100;100;100;100
13;0;0.0;0.0;13;1064288;2059404;93;21;19;100;100;100;100
14;1;2675.958252;34285.714844;13;1066208;2059404;93;23;19;97;100;100;100
15;1;0.0;0.0;13;1066208;2059404;93;23;19;99;100;100;100
16;1;0.0;0.0;13;1066208;2059404;93;22;19;98;100;100;100
17;1;0.0;0.0;13;1066208;2059404;93;23;19;100;100;100;100
18;1;0.0;0.0;13;1066208;2059404;92;23;19;100;100;100;100
19;0;0.0;0.0;13;1066208;2059404;92;22;19;100;100;100;100
20;0;0.0;0.0;13;1066208;2059404;92;23;19;99;100;100;100
21;0;0.0;0.0;13;1066208;2059404;93;23;19;100;100;100;100
22;0;0.0;0.0;13;1066208;2059404;93;25;19;100;100;100;100
23;0;0.0;0.0;13;1066208;2059404;93;22;19;100;100;99;100
24;0;0.0;0.0;13;1066208;2059404;93;26;19;100;100;100;100
25;1;9964.912109;194970.765625;13;1069920;2059404;92;28;19;99;100;100;100
26;1;144;0.0;13;1069920;2059404;92;24;19;99;100;100;100
27;1;0.0;13176.000000;13;1069920;2059404;93;23;19;100;100;100;100
28;1;0.0;30713.287109;13;1071840;2059404;93;27;19;99;100;100;100
29;1;0.0;0.0;13;1071840;2059404;93;25;19;100;100;100;100
30;0;0.0;0.0;13;1071840;2059404;92;25;19;99;100;100;100
31;0;0.0;0.0;13;1071840;2059404;93;29;19;98;100;99;100
32;0;0.0;0.0;13;1071840;2059404;93;26;19;100;100;99;100
33;0;0.0;0.0;13;1071840;2059404;92;25;19;100;100;100;100
34;0;0.0;0.0;13;1071840;2059404;92;28;19;98;100;100;100
35;0;0.0;0.0;13;1071840;2059404;93;28;19;100;100;98;100
36;0;0.0;0.0;13;1071840;2059404;93;25;19;96;98;99;100
37;0;0.0;0.0;13;1071840;2059404;93;22;19;97;99;99;100
38;0;0.0;0.0;13;1071840;2059404;93;21;19;97;99;100;100
39;0;0.0;0.0;13;1071840;2059404;94;20;19;91;98;99;99
40;0;0.0;0.0;13;1071840;2059404;93;21;19;94;96;98;91
41;0;0.0;0.0;13;1071840;2059404;94;21;19;92;95;98;99
42;0;0.0;0.0;13;1071840;2059404;93;19;19;94;91;89;99
43;0;0.0;0.0;13;1071840;2059404;92;19;19;94;93;91;91
44;0;0.0;0.0;13;1071840;2059404;91;21;19;95;91;93;95
45;0;0.0;0.0;13;1071840;2059404;91;21;19;89;94;92;95
46;0;0.0;0.0;13;1071840;2059404;92;23;19;94;90;87;99
47;0;0.0;0.0;13;1071840;2059404;92;25;19;90;94;93;98
48;0;0.0;0.0;13;1071840;2059404;93;23;19;98;96;93;95
49;0;0.0;0.0;13;1071840;2059404;93;22;19;95;92;97;92
50;0;0.0;0.0;13;1071840;2059404;93;23;19;95;94;98;95
51;0;0.0;0.0;13;1071840;2059404;93;25;19;98;96;97;100
52;0;0.0;0.0;13;1071840;2059404;93;22;19;96;97;98;100
53;0;0.0;0.0;13;1071840;2059404;93;23;19;96;94;97;99
54;0;0.0;0.0;13;1071840;2059404;93;22;19;94;94;99;100
55;0;0.0;0.0;13;1071840;2059404;94;21;19;95;94;94;96
56;0;0.0;0.0;13;1071840;2059404;92;19;19;93;97;98;91
57;0;0.0;0.0;13;1071840;2059404;93;20;19;87;95;96;97
58;0;0.0;0.0;13;1071840;2059404;93;21;19;87;96;95;98
59;0;0.0;0.0;13;1071840;2059404;92;20;19;91;94;95;97
60;0;0.0;0.0;13;1071840;2059404;93;20;19;96;94;92;96
61;0;0.0;0.0;13;1071840;2059404;93;20;19;96;97;96;96
62;0;0.0;0.0;13;1071840;2059404;92;22;19;96;96;99;96
63;0;0.0;0.0;13;1071840;2059404;93;25;19;98;99;100;100
64;0;0.0;0.0;13;1071840;2059404;93;23;19;97;98;100;100
65;0;0.0;0.0;13;1071840;2059404;93;25;19;98;97;99;99
66;0;0.0;0.0;13;1071840;2059404;92;22;19;97;99;99;99
67;0;0.0;0.0;13;1071840;2059404;93;22;19;99;99;100;100
68;0;0.0;0.0;13;1071840;2059404;93;21;19;97;100;99;100
69;0;0.0;0.0;13;1071840;2059404;93;23;19;100;99;99;96
70;0;0.0;0.0;13;1071840;2059404;92;28;19;99;98;99;99
71;0;0.0;0.0;13;1071840;2059404;92;28;19;99;99;99;100
72;0;0.0;0.0;13;1071840;2059404;92;28;19;99;98;100;100
73;0;0.0;0.0;13;1071840;2059404;93;24;19;97;98;98;98
74;0;0.0;0.0;13;1071840;2059404;92;23;19;97;99;99;96
75;0;0.0;0.0;13;1071840;2059404;92;23;19;98;99;99;99
76;0;0.0;0.0;13;1071840;2059404;92;24;19;99;100;99;99
77;0;0.0;0.0;13;1071840;2059404;93;24;19;97;99;100;100
78;0;0.0;0.0;13;1071840;2059404;92;22;19;99;99;96;100
79;0;0.0;0.0;13;1071840;2059404;93;25;19;97;97;97;95
80;0;0.0;0.0;13;1071840;2059404;93;26;19;99;99;97;98
81;0;0.0;0.0;13;1071840;2059404;93;24;19;99;100;95;99
82;0;0.0;0.0;13;1071840;2059404;93;21;19;99;96;98;98
83;0;0.0;0.0;13;1071840;2059404;93;25;19;100;100;99;99
84;0;0.0;0.0;13;1071840;2059404;93;22;19;99;97;99;100
85;0;0.0;0.0;13;1071840;2059404;92;21;19;99;96;100;100
86;0;0.0;0.0;13;1071840;2059404;93;21;19;98;96;98;100
87;0;0.0;0.0;13;1071840;2059404;93;21;19;100;99;99;100
88;0;0.0;0.0;13;1071840;2059404;93;22;19;100;97;98;100
89;0;0.0;0.0;13;1071840;2059404;93;22;19;97;98;98;100
90;0;0.0;0.0;13;1071840;2059404;93;25;19;100;99;99;100
91;0;0.0;0.0;13;1071840;2059404;93;21;19;99;99;98;100
92;0;0.0;0.0;13;1071840;2059404;92;20;19;99;98;95;98
93;0;0.0;0.0;13;1071840;2059404;92;22;19;99;99;99;99
94;0;0.0;0.0;13;1071840;2059404;93;22;19;100;100;100;100
95;0;0.0;0.0;13;1071840;2059404;93;21;19;100;100;100;100
96;0;0.0;0.0;13;1071840;2059404;93;27;19;96;97;100;96
97;0;0.0;0.0;13;1071840;2059404;93;26;19;67;67;66;79
98;0;0.0;0.0;13;1071840;2059404;93;24;19;64;72;67;68
99;0;0.0;0.0;13;1071840;2059404;93;24;19;58;60;58;60
100;0;0.0;0.0;13;1071840;2059404;93;28;19;64;65;68;67
101;0;0.0;0.0;13;1071840;2059404;93;27;19;63;63;65;70
102;0;0.0;0.0;13;1071840;2059404;93;24;19;58;58;61;62
103;0;0.0;0.0;13;1071840;2059404;93;25;19;53;73;61;61
104;0;0.0;0.0;13;1071840;2059404;93;25;19;60;67;81;73
105;0;0.0;0.0;13;1071840;2059404;93;25;19;65;70;75;70
106;0;0.0;0.0;13;1071840;2059404;93;24;19;54;59;63;60
107;0;0.0;0.0;13;1071840;2059404;92;24;19;52;66;66;69
108;0;0.0;0.0;13;1071840;2059404;93;22;19;66;69;81;74
109;0;0.0;0.0;13;1071840;2059404;92;18;19;47;50;54;51
110;0;0.0;0.0;13;1071840;2059404;92;18;19;37;36;35;39
111;0;0.0;0.0;13;1071840;2059404;92;15;19;27;26;31;34
112;0;0.0;0.0;13;1071840;2059404;92;16;19;37;36;42;42
113;0;0.0;0.0;13;1071840;2059404;92;21;19;63;66;59;67
114;0;0.0;0.0;13;1071840;2059404;93;24;19;55;60;57;62
115;0;0.0;0.0;13;1071840;2059404;93;18;19;38;48;41;50
