time;nof_ue;dl_brate;ul_brate;proc_rmem;proc_rmem_kB;proc_vmem_kB;sys_mem;system_load;thread_count;cpu_0;cpu_1;cpu_2;cpu_3
0;0;0.0;0.0;9.3;750452;1862736;91;10;19;25;19;19;16
1;0;0.0;0.0;9.3;750452;1862736;90;24;19;46;40;44;44
2;0;0.0;0.0;9.3;750452;1862736;90;13;19;27;16;22;9.9
3;0;0.0;0.0;9.3;750452;1862736;90;13;19;30;17;22;14
4;0;0.0;0.0;9.3;750452;1862736;90;13;19;29;20;25;15
5;0;0.0;0.0;9.3;750452;1862736;90;13;19;28;19;23;15
6;0;0.0;0.0;9.3;750452;1862736;90;13;19;28;16;23;9.9
7;0;0.0;0.0;9.3;750452;1862736;89;13;19;25;16;25;12
8;0;0.0;0.0;9.3;750452;1862736;89;14;19;20;18;22;19
9;0;0.0;0.0;9.3;750452;1862736;89;15;19;27;25;28;30
10;0;0.0;0.0;9.3;750452;1862736;89;15;19;30;23;27;38
11;0;0.0;0.0;9.3;750452;1862736;89;14;19;19;20;22;21
12;0;0.0;0.0;9.3;750452;1862736;89;14;19;21;19;22;22
13;0;0.0;0.0;9.3;750452;1862736;89;14;19;20;20;23;23
14;0;0.0;0.0;9.3;750452;1862736;89;14;19;21;19;22;21
15;0;0.0;0.0;9.3;750452;1862736;89;14;19;20;19;23;23
16;0;0.0;0.0;9.3;750452;1862736;89;14;19;20;19;22;22
17;0;0.0;0.0;9.3;750452;1862736;89;14;19;20;20;22;21
18;0;0.0;0.0;9.3;750452;1862736;89;14;19;21;19;23;23
19;0;0.0;0.0;9.3;750452;1862736;89;14;19;21;19;22;23
20;0;0.0;0.0;9.3;750452;1862736;89;14;19;23;20;22;21
21;0;0.0;0.0;9.3;750452;1862736;89;14;19;21;20;23;23
22;0;0.0;0.0;9.3;750452;1862736;89;14;19;20;20;21;21
23;0;0.0;0.0;9.3;750452;1862736;89;14;19;20;18;22;21
24;0;0.0;0.0;9.3;750452;1862736;89;14;19;25;24;24;24
25;0;0.0;0.0;9.3;750452;1862736;89;15;19;27;20;26;25
26;0;0.0;0.0;9.3;750452;1862736;89;14;19;22;19;22;22
27;0;0.0;0.0;9.3;750452;1862736;89;14;19;20;19;23;21
28;0;0.0;0.0;9.3;750452;1862736;89;14;19;21;19;22;22
29;0;0.0;0.0;9.3;750452;1862736;89;14;19;21;20;22;20
30;0;0.0;0.0;9.3;750452;1862736;89;14;19;23;19;23;22
31;0;0.0;0.0;9.3;750452;1862736;89;14;19;23;18;18;21
32;0;0.0;0.0;9.3;750452;1862736;89;14;19;26;19;15;19
33;0;0.0;0.0;9.3;750452;1862736;89;14;19;26;20;17;21
34;0;0.0;0.0;9.3;750452;1862736;89;14;19;21;20;23;20
35;0;0.0;0.0;9.3;750452;1862736;89;14;19;21;20;22;20
36;0;0.0;0.0;9.3;750452;1862736;89;14;19;23;21;18;20
37;0;0.0;0.0;9.3;750452;1862736;89;14;19;19;21;22;20
38;0;0.0;0.0;9.3;750452;1862736;89;14;19;20;19;22;19
39;0;0.0;0.0;9.3;750452;1862736;89;15;19;25;24;27;26
40;0;0.0;0.0;9.3;750452;1862736;89;15;19;25;24;25;24
41;0;0.0;0.0;9.3;750452;1862736;89;14;19;19;19;22;20
42;0;0.0;0.0;9.3;750452;1862736;89;14;19;19;21;22;21
43;0;0.0;0.0;9.3;750452;1862736;89;14;19;21;22;23;21
44;0;0.0;0.0;9.3;750452;1862736;89;14;19;23;19;20;20
45;0;0.0;0.0;9.3;750452;1862736;89;14;19;29;21;19;20
46;0;0.0;0.0;9.3;750452;1862736;89;14;19;25;19;16;21
47;0;0.0;0.0;9.3;750452;1862736;89;14;19;25;19;15;20
48;0;0.0;0.0;9.3;750452;1862736;89;14;19;22;21;21;20
49;0;0.0;0.0;9.3;750452;1862736;89;14;19;22;23;23;21
50;0;0.0;0.0;9.3;750452;1862736;89;14;19;20;21;22;20
51;0;0.0;0.0;9.3;750452;1862736;89;14;19;21;20;22;19
52;0;0.0;0.0;9.3;750452;1862736;89;14;19;20;21;23;20
53;0;0.0;0.0;9.3;750452;1862736;89;14;19;20;19;22;20
54;0;0.0;0.0;9.3;750452;1862736;89;14;19;23;20;22;22
55;0;0.0;0.0;9.3;750452;1862736;89;14;19;26;21;22;25
56;0;0.0;0.0;9.3;750452;1862736;89;14;19;25;14;19;21
57;0;0.0;0.0;9.3;750452;1862736;89;14;19;25;15;21;21
58;0;0.0;0.0;9.3;750452;1862736;88;14;19;25;16;21;21
59;0;0.0;0.0;9.3;750452;1862736;88;14;19;25;14;21;20
60;0;0.0;0.0;9.3;750452;1862736;88;14;19;27;16;21;22
61;0;0.0;0.0;9.3;750452;1862736;88;14;19;26;17;22;21
62;0;0.0;0.0;9.3;750452;1862736;88;14;19;26;14;20;21
63;0;0.0;0.0;9.3;750452;1862736;88;14;19;26;16;20;21
64;0;0.0;0.0;9.3;750452;1862736;88;13;19;24;20;18;20
65;0;0.0;0.0;9.3;750452;1862736;88;13;19;20;22;18;20
66;0;0.0;0.0;9.3;750452;1862736;88;13;19;25;19;17;18
67;0;0.0;0.0;9.3;750452;1862736;88;13;19;16;22;17;24
68;0;0.0;0.0;9.3;750452;1862736;88;13;19;18;21;16;20
69;0;0.0;0.0;9.3;750452;1862736;88;13;19;25;22;18;16
70;0;0.0;0.0;9.3;750452;1862736;88;15;19;35;43;26;42
71;1;3540.765381;50782.031250;9.8;790900;1864624;90;23;19;45;42;41;43
72;1;3646.888672;19855.281250;9.9;795336;1864624;90;19;19;38;34;33;33
73;1;0.0;0.0;9.9;795336;1864624;90;26;19;48;44;45;44
74;1;0.0;0.0;9.9;795336;1864624;90;14;19;28;13;22;17
75;1;0.0;0.0;9.9;795336;1864624;90;13;19;26;16;21;17
76;1;0.0;0.0;9.9;795336;1864624;90;15;19;36;25;32;40
77;1;0.0;0.0;9.9;795336;1864624;91;19;19;86;72;73;81
78;1;0.0;0.0;9.9;795336;1864624;91;17;19;58;46;52;56
79;1;1440.860229;12881.720703;9.9;795560;1862736;91;25;19;73;61;83;68
80;1;0.0;0.0;9.9;795560;1862736;91;24;19;70;50;75;54
81;1;0.0;0.0;9.9;795560;1862736;90;15;19;22;21;25;23
82;1;0.0;0.0;9.9;795560;1862736;90;14;19;20;19;23;21
83;1;0.0;0.0;9.9;795560;1862736;90;15;19;22;21;23;25
84;1;8656.716797;71522.390625;9.9;797480;1862736;91;17;19;32;26;29;29
85;1;5818.181641;29818.181641;9.9;797992;1862736;91;20;19;47;40;43;43
86;1;912;8272.000000;9.9;797992;1862736;91;17;19;39;29;34;26
87;1;0.0;0.0;9.9;797992;1862736;90;25;19;46;43;45;42
88;1;0.0;0.0;9.9;797992;1862736;91;14;19;19;20;22;22
89;1;0.0;0.0;9.9;797992;1862736;90;15;19;20;21;23;25
90;1;0.0;0.0;9.9;797992;1862736;89;15;19;22;24;24;24
91;1;0.0;0.0;9.9;797992;1862736;89;14;19;20;20;22;21
92;1;0.0;0.0;9.9;797992;1862736;89;15;19;23;20;22;24
93;1;0.0;0.0;9.9;797992;1862736;89;15;19;21;23;23;24
94;1;0.0;0.0;9.9;797992;1862736;89;14;19;21;20;22;21
95;1;0.0;0.0;9.9;797992;1862736;89;15;19;20;22;24;23
96;1;0.0;0.0;9.9;797992;1862736;89;15;19;19;20;23;21
97;1;0.0;0.0;9.9;797992;1862736;89;14;19;19;20;21;22
98;1;0.0;0.0;9.9;797992;1862736;89;15;19;21;21;23;22
99;1;0.0;0.0;9.9;797992;1862736;89;15;19;22;21;24;23
100;1;0.0;0.0;9.9;797992;1862736;89;15;19;27;26;27;27
101;1;0.0;0.0;9.9;797992;1862736;89;15;19;22;21;22;23
102;1;0.0;0.0;9.9;797992;1862736;89;14;19;22;21;23;22
103;1;0.0;0.0;9.9;797992;1862736;89;15;19;21;21;23;22
104;1;0.0;0.0;9.9;797992;1862736;89;15;19;22;22;24;24
105;1;0.0;0.0;9.9;797992;1862736;89;15;19;22;22;25;23
106;1;0.0;0.0;9.9;797992;1862736;89;15;19;21;20;21;21
107;1;0.0;0.0;9.9;797992;1862736;89;15;19;22;21;23;23
108;1;0.0;0.0;9.9;797992;1862736;89;15;19;21;21;22;22
109;1;0.0;0.0;9.9;797992;1862736;89;15;19;20;22;22;22
110;1;0.0;0.0;9.9;797992;1862736;89;16;19;44;35;28;34
111;1;0.0;0.0;9.9;797992;1862736;90;17;19;61;43;53;47
112;1;0.0;0.0;9.9;797992;1862736;91;18;19;55;43;45;46
113;1;0.0;0.0;9.9;797992;1862736;91;18;19;52;50;63;54
114;1;0.0;0.0;9.9;797992;1862736;91;17;19;74;55;44;60
115;1;0.0;0.0;9.9;797992;1862736;91;18;19;65;48;49;47
116;0;0.0;0.0;9.9;797992;1862736;90;25;19;83;78;83;81
117;0;0.0;0.0;9.9;797992;1862736;91;27;19;71;74;69;84
118;0;0.0;0.0;9.9;797992;1862736;90;16;19;68;57;69;84
119;0;0.0;0.0;9.9;797992;1862736;91;16;19;47;32;44;68
120;0;0.0;0.0;9.9;797992;1862736;92;15;19;37;38;37;38
121;0;0.0;0.0;9.9;797992;1862736;90;14;19;28;29;26;34
122;0;0.0;0.0;9.9;797992;1862736;91;13;19;19;21;24;20
123;0;0.0;0.0;9.9;797992;1862736;91;21;19;39;36;41;46
124;0;0.0;0.0;9.9;797992;1862736;91;26;19;50;43;46;45
125;0;0.0;0.0;9.9;797992;1862736;91;14;19;27;23;22;24
126;0;0.0;0.0;9.9;797992;1862736;91;14;19;25;19;21;20
127;0;0.0;0.0;9.9;797992;1862736;91;13;19;25;18;17;20
128;0;0.0;0.0;9.9;797992;1862736;91;13;19;26;17;23;12
129;0;0.0;0.0;9.9;797992;1862736;86;14;19;34;21;33;24
130;0;0.0;0.0;9.9;797992;1862736;86;14;19;36;26;36;40
131;0;0.0;0.0;9.9;797992;1862736;86;13;19;25;17;23;12
132;0;0.0;0.0;9.9;797992;1862736;86;14;19;20;20;22;20
133;0;0.0;0.0;9.9;797992;1862736;86;14;19;18;19;22;21
134;0;0.0;0.0;9.9;797992;1862736;86;14;19;20;19;24;22
135;0;0.0;0.0;9.9;797992;1862736;87;15;19;31;27;35;37
136;0;0.0;0.0;9.9;797992;1862736;87;14;19;22;19;23;25
137;0;0.0;0.0;9.9;797992;1862736;87;14;19;20;18;23;22
138;0;0.0;0.0;9.9;797992;1862736;87;14;19;21;18;24;22
139;0;0.0;0.0;9.9;797992;1862736;87;14;19;19;19;23;24
140;0;0.0;0.0;9.9;797992;1862736;87;15;19;24;20;23;23
141;0;0.0;0.0;9.9;797992;1862736;87;14;19;22;19;23;23
142;0;0.0;0.0;9.9;797992;1862736;87;14;19;19;18;22;20
143;0;0.0;0.0;9.9;797992;1862736;87;15;19;21;19;23;22
144;0;0.0;0.0;9.9;797992;1862736;87;14;19;21;19;23;22
145;0;0.0;0.0;9.9;797992;1862736;87;14;19;23;20;26;24
146;0;0.0;0.0;9.9;797992;1862736;87;15;19;24;22;25;29
147;0;0.0;0.0;9.9;797992;1862736;87;14;19;20;18;24;22
148;0;0.0;0.0;9.9;797992;1862736;88;14;19;24;20;28;25
149;0;0.0;0.0;9.9;797992;1862736;88;14;19;23;18;24;22
150;0;0.0;0.0;9.9;797992;1862736;88;14;19;21;20;24;22
151;0;0.0;0.0;9.9;797992;1862736;88;14;19;18;19;22;20
152;0;0.0;0.0;9.9;797992;1862736;88;14;19;20;19;22;21
153;0;0.0;0.0;9.9;797992;1862736;88;14;19;28;16;24;22
154;0;0.0;0.0;9.9;797992;1862736;88;13;19;22;24;21;26
155;0;0.0;0.0;9.9;797992;1862736;89;20;19;39;37;40;41
156;0;0.0;0.0;9.9;797992;1862736;89;25;19;49;43;48;42
157;0;0.0;0.0;9.9;797992;1862736;89;15;19;26;22;24;22
158;0;0.0;0.0;9.9;797992;1862736;88;13;19;24;17;19;17
159;0;0.0;0.0;9.9;797992;1862736;88;14;19;25;21;22;20
160;0;0.0;0.0;9.9;797992;1862736;88;13;19;25;20;23;22
161;0;0.0;0.0;9.9;797992;1862736;88;13;19;25;18;20;19
162;0;0.0;0.0;9.9;797992;1862736;88;13;19;23;19;19;17
163;0;0.0;0.0;9.9;797992;1862736;88;13;19;22;17;18;18
164;0;0.0;0.0;9.9;797992;1862736;88;13;19;22;19;19;21
165;0;0.0;0.0;9.9;797992;1862736;88;13;19;25;20;20;20
166;0;0.0;0.0;9.9;797992;1862736;88;12;19;24;17;17;17
167;0;0.0;0.0;9.9;797992;1862736;88;13;19;22;18;19;20
168;0;0.0;0.0;9.9;797992;1862736;88;13;19;19;20;18;19
169;0;0.0;0.0;9.9;797992;1862736;88;13;19;23;19;17;19
170;0;0.0;0.0;9.9;797992;1862736;88;13;19;19;21;19;24
171;0;0.0;0.0;9.9;797992;1862736;88;13;19;21;18;19;20
172;0;0.0;0.0;9.9;797992;1862736;89;13;19;23;25;25;23
173;0;0.0;0.0;9.9;797992;1862736;89;13;19;19;21;18;21
174;0;0.0;0.0;9.9;797992;1862736;89;13;19;22;19;18;19
175;0;0.0;0.0;9.9;797992;1862736;89;13;19;24;20;19;19
176;0;0.0;0.0;9.9;797992;1862736;89;13;19;25;24;20;20
177;0;0.0;0.0;9.9;797992;1862736;89;13;19;23;17;19;17
178;0;0.0;0.0;9.9;797992;1862736;89;13;19;23;16;17;17
179;0;0.0;0.0;9.9;797992;1862736;89;13;19;24;18;20;17
180;0;0.0;0.0;9.9;797992;1862736;89;13;19;23;19;18;20
181;0;0.0;0.0;9.9;797992;1862736;89;13;19;23;16;21;18
182;0;0.0;0.0;9.9;797992;1862736;89;13;19;24;20;17;17
183;0;0.0;0.0;9.9;797992;1862736;89;13;19;20;20;17;21
184;0;0.0;0.0;9.9;797992;1862736;89;13;19;22;19;18;18
185;0;0.0;0.0;9.9;797992;1862736;89;13;19;26;19;20;18
186;0;0.0;0.0;9.9;797992;1862736;89;13;19;24;17;19;18
187;0;0.0;0.0;9.9;797992;1862736;89;13;19;18;20;16;19
188;0;0.0;0.0;9.9;797992;1862736;89;13;19;21;19;19;20
189;0;0.0;0.0;9.9;797992;1862736;89;13;19;24;18;20;18
190;0;0.0;0.0;9.9;797992;1862736;89;14;19;31;30;22;32
191;0;0.0;0.0;9.9;797992;1862736;89;13;19;20;22;20;22
192;1;595;2503.816895;9.9;797992;1862736;90;22;19;46;41;43;45
193;1;0.0;0.0;9.9;797992;1862736;89;31;19;55;50;52;52
194;1;0.0;0.0;10;836648;1862736;91;17;19;32;34;29;36
195;1;0.0;0.0;10;836648;1862736;91;15;19;33;25;26;28
196;0;0.0;0.0;10;836648;1862736;91;26;19;57;49;48;51
197;0;0.0;0.0;10;836648;1862736;91;24;19;43;41;39;40
198;0;0.0;0.0;10;836648;1862736;91;22;19;42;36;36;39
199;0;0.0;0.0;10;836648;1862736;90;13;19;23;19;18;21
200;0;0.0;0.0;10;836648;1862736;90;14;19;25;20;19;19
201;0;0.0;0.0;10;836648;1862736;90;13;19;24;20;18;19
202;3;0.0;0.0;10;836648;1862736;91;14;19;24;25;22;27
203;6;0.0;0.0;10;836648;1862736;91;27;19;80;58;57;71
204;2;0.0;0.0;10;836648;1862736;91;27;19;75;60;66;68
205;0;0.0;0.0;10;836648;1862736;91;15;19;25;31;24;34
206;0;0.0;0.0;10;836648;1862736;91;25;19;52;48;43;49
207;0;0.0;0.0;10;836648;1862736;91;12;19;24;15;18;17
208;0;0.0;0.0;10;836648;1862736;91;13;19;25;18;19;18
209;0;0.0;0.0;10;836648;1862736;91;13;19;28;19;19;19
210;0;0.0;0.0;10;836648;1862736;91;13;19;24;16;16;18
211;0;0.0;0.0;10;836648;1862736;91;13;19;19;20;17;20
212;1;2883.435547;42036.808594;10;836648;1862736;91;24;19;49;44;43;46
213;1;0.0;0.0;10;836648;1862736;91;23;19;42;39;37;40
214;1;0.0;0.0;10;836648;1862736;90;13;19;17;23;18;23
215;2;5818.181641;9939.393555;10;836648;1862736;91;16;19;30;26;23;26
216;1;7508.771973;40865.496094;10;836648;1862736;90;23;19;57;47;44;47
217;1;3134.502930;28023.392578;10;836648;1862736;91;16;19;36;28;30;28
218;0;0.0;0.0;10;836648;1862736;90;15;19;28;24;21;23
219;0;0.0;0.0;10;836648;1862736;90;28;19;53;46;48;49
220;1;7742.765137;62405.144531;10;836648;1862736;90;19;19;39;35;32;36
221;1;503;4131.868164;10;836648;1862736;91;21;19;43;31;35;38
222;1;0.0;0.0;10;836648;1862736;91;23;19;37;39;38;41
223;2;7686.832520;34106.761719;10;840872;1862736;91;30;19;57;58;52;60
224;2;6700.000000;59900.000000;10;842792;1862736;91;18;19;34;29;33;28
225;1;0.0;0.0;10;842792;1862736;92;22;19;45;39;40;38
226;1;0.0;0.0;10;842792;1862736;91;18;19;43;33;39;33
227;0;0.0;0.0;10;842792;1862736;91;17;19;35;29;28;31
228;1;6400.000000;1400.000000;10;842792;1862736;91;19;19;37;36;32;37
229;1;749022.250000;652066.687500;10;842792;1862736;91;27;19;54;49;53;49
230;1;593080.000000;414384.000000;10;842792;1862736;91;23;19;44;37;34;31
231;1;455784.000000;761096.000000;10;842792;1862736;91;24;19;45;31;37;37
232;1;914504.000000;919552.000000;10;842792;1862736;90;16;19;33;18;24;27
233;1;269264.000000;641728.000000;10;842792;1862736;90;16;19;32;16;23;24
234;1;1115296.000000;532608.000000;10;842792;1862736;90;17;19;33;18;23;27
235;1;569304.000000;765856.000000;10;842792;1862736;90;17;19;33;18;24;27
236;1;306120.000000;615376.000000;10;842792;1862736;90;16;19;35;23;26;28
237;1;116461.968750;653160.562500;10;842792;1862736;91;30;19;77;68;70;58
238;1;4654.545410;23854.544922;10;842792;1862736;91;23;19;75;68;47;51
239;1;2799152.000000;1222008.000000;10;842792;1862736;91;21;19;44;41;39;43
240;1;2690168.000000;487184.000000;10;842792;1862736;91;28;19;53;50;48;49
241;1;4619200.000000;1796549.000000;10;842792;1862736;92;28;19;59;57;63;55
242;1;2337528.000000;1104136.000000;10;842792;1862736;92;23;19;39;36;34;36
243;1;616;8272.000000;10;842792;1862736;92;23;19;45;40;40;39
244;1;0.0;0.0;10;842792;1862736;92;20;19;52;48;48;46
245;1;0.0;0.0;10;842792;1862736;92;21;19;40;34;34;34
246;1;1126433.625000;1051681.125000;10;842792;1862736;90;27;19;57;59;55;55
247;1;144849.156250;346029.062500;10;842792;1862736;90;18;19;34;35;33;35
248;1;796327.062500;682826.000000;10;842792;1862736;90;21;19;39;34;44;34
249;1;3471229.750000;4594844.500000;10;842792;1862736;90;29;19;59;61;54;56
250;1;11795216.000000;1733808.000000;10;842792;1862736;90;26;19;52;50;59;51
251;1;19890.798828;174139.531250;10;842792;1862736;90;29;19;54;55;52;54
252;4;0.0;0.0;10;842792;1862736;90;31;19;57;59;63;53
253;1;130822.031250;606584.750000;10;842792;1862736;90;19;19;38;37;39;32
254;1;58543.210938;495382.718750;10;842792;1862736;90;21;19;46;51;42;42
255;1;6968.000000;0.0;10;842792;1862736;90;21;19;41;46;47;37
