time;nof_ue;dl_brate;ul_brate;proc_rmem;proc_rmem_kB;proc_vmem_kB;sys_mem;system_load;thread_count;cpu_0;cpu_1;cpu_2;cpu_3;cpu_4;cpu_5;cpu_6;cpu_7;cpu_8;cpu_9;cpu_10;cpu_11
0;0;0.0;0.0;4.6;749564;1535400;78;3.8;19;91;90;85;90;94;82;92;83;81;87;95;76
1;0;0.0;0.0;4.6;749564;1535400;80;5.2;19;97;85;97;92;94;92;86;86;81;93;93;95
2;0;0.0;0.0;4.6;749564;1535400;80;4.0;19;81;35;43;60;80;44;61;66;84;50;69;56
3;0;0.0;0.0;4.6;749564;1535400;80;3.9;19;86;37;34;83;55;39;70;69;58;100;42;35
4;0;0.0;0.0;4.6;749564;1535400;82;4.0;19;42;45;34;62;66;42;66;78;54;83;64;58
5;0;0.0;0.0;4.6;749692;1600936;83;3.4;19;65;22;17;72;13;19;36;24;65;75;62;34
6;0;0.0;0.0;4.6;749692;1600936;83;3.0;19;19;23;26;45;24;9.0;31;9.0;33;42;35;18
7;0;0.0;0.0;4.6;749692;1600936;84;2.7;19;19;19;10;51;43;8.0;68;14;12;4.0;21;12
8;0;0.0;0.0;4.6;749692;1600936;84;3.3;19;32;23;28;33;33;18;72;21;21;41;45;28
9;0;0.0;0.0;4.6;749692;1600936;85;2.7;19;18;12;8.0;14;6.0;19;33;9.0;4.0;7.0;5.0;8.0
10;0;0.0;0.0;4.6;749948;1732008;85;2.5;19;15;13;6.9;1.9;1.9;4.9;0.0;4.9;0.90;0.90;2.9;1.9
11;0;0.0;0.0;4.6;749948;1732008;85;2.6;19;17;9.9;6.9;2.9;2.9;5.9;0.90;4.9;1.9;1.9;1.9;0.90
12;0;0.0;0.0;4.6;749948;1732008;85;2.5;19;13;9.0;6.0;0.0;0.0;6.0;0.0;4.0;1.00;1.00;2.0;1.00
13;0;0.0;0.0;4.6;749948;1732008;85;2.5;19;14;9.9;5.9;0.90;3.9;5.9;0.90;4.9;1.9;2.9;2.9;1.9
14;0;0.0;0.0;4.6;749948;1732008;85;2.5;19;13;9.9;5.9;0.90;1.9;5.9;0.90;3.9;0.90;0.90;1.9;1.9
15;0;0.0;0.0;4.6;749948;1732008;85;2.5;19;14;9.9;6.9;0.90;0.90;5.9;0.90;3.9;2.9;1.9;3.9;1.9
16;0;0.0;0.0;4.6;749948;1732008;86;2.7;19;19;18;11;11;3.9;8.9;1.9;8.9;2.9;5.9;5.9;4.9
